# features	SH_002	SH_007	SH_011	SH_012	SH_013	SH_014	SH_015	SH_017	SH_021	SH_022	SH_023	SH_024	SH_029	SH_034	SH_038	SH_039	SH_042	SH_045	SH_051	SH_053	SH_055	SH_058	SH_068	SH_072	SH_078	SH_079	SH_083	SH_084	SH_089	SH_093	SH_094	SH_111	SH_117	SH_123	SH_133	SH_144	SH_146	SH_166	SH_205	SH_247	SH_500	SH_501	SH_502
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_hominis	0	0	0	0.076	0	654.395392637236	36.7829963217004	295.231881907247	0	33.695010108503	0	107.60703228211	521.571634899856	61.059036635422	4.81500144450043	0	58.9410117882024	32.91	85.7530257259077	0	124.120024824005	0	0	29.9210089763027	56.6039943396006	0.458999862300041	0	40.4469757318146	0	0	0	0	67.2249932775007	51.591	0	0	0	0	0	221.158110579055	0	0	42.0819915836017
k__Bacteria|p__Firmicutes|c__CFGB1340|o__OFGB1340|f__FGB1340|g__GGB3256|s__GGB3256_SGB4303	0	0	189.723886165668	0	0	0	0	308.406876637249	0	0	8.80200352080141	0	0	148.533089119853	4.93400148020044	0.88999973300008	0	0	0	0	31.8240063648013	0	0	0	9.7369990263001	0	192.997096498548	335.642798614321	0	0	0	0	0	11.635	0	447.114821154072	44.57	0	0	0	0	758.25784834843	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum	20.178	0	0	0	0	0	13.8539986146001	12.447995020802	0.474000189600076	0	0	0	14.9479895364073	3.47300208380125	0	9.68499709450087	0	0	0	0	0	0	0	10.692003207601	11.2469988753001	0	19.6010098005049	0.127999923200046	0	0	0	0	0	0	0	0	0	0	0	6.98800349400175	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	85.513	69.8290139658028	0	215.241	5.72400286200143	0	7.50999924900008	0	13.1540052616021	165.548049664415	92.7550371020148	335.93010077903	0	0	0	0	719.705143941029	0	0	0	0	99.188009918801	0	0	156.948984305102	62.0829813751056	103.666051833026	65.5539606676236	0.82	153.914030782806	322.649935470013	49.635980145608	0	135.436	78.4340078434008	22.4209910316036	0	0	177.321982267802	4.66100233050117	18.5270129689091	11.2569977486005	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae	0	0	0	0	0	0.686000411600247	1.36899986310001	0	0	0.929000278700084	0	0	0	9.85100591060355	0	0	0.969000193800039	0	0	0	0	0.297000029700003	0	0	0	0	0	0	0.695	0	0	3.7659984936006	0.521999947800005	0	0	0	0	0	0	0.072000036000018	0	1.17299976540005	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_wadsworthensis	126.859	3.21000064200013	192.905884256469	70.425	33.6960168480084	3.11100186660112	0	0	0	102.586030775809	88.6490354596142	43.5580130674039	4.09999713000201	0	54.9070164721049	18.2879945136016	13.8860027772006	0	0	0	27.6050055210011	73.4070073407007	30.0870090261027	0	0	1.51799954460014	0	0	10.546	0	63.8879872224026	13.2029947188021	2.18399978160002	262.738	6.79600067960007	75.9379696248122	0	0	0	110.199055099528	0	14.2089971582006	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__Phocaeicola|s__Phocaeicola_vulgatus	1032.696	907.916181583236	33.6009798394121	268.485	923.272461636231	97.7110586266352	932.387906761209	42.8829828468069	256.063102425241	1006.61030198309	56.6510226604091	1089.8573269572	118.682916921958	0	846.860254058076	297.163910850827	462.352092470419	1431.692	1578.97647369294	0.062000031000016	0	500.115050011505	1448.29943448983	103.627031088109	335.807966419203	43.2159870352039	0	363.403781957731	10.369	0	354.792929041414	310.84887566045	143.654985634501	0	14.9090014909001	485.534805786078	2024.05	603.717939628206	1665.96883340312	482.971241485621	125.585087909562	55.9939888012022	637.131872573626
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	217.867	21.7990043598009	25.3519847888091	2.342	65.6790328395164	95.9050575430345	0.614999938500006	0	3.18800127520051	10.3690031107009	4.3610017444007	0.846000253800076	10.6099925730052	370.237222142333	70.4880211464063	152.631954210414	41.0570082114017	6.533	0	0	0	6.51600065160007	17.6110052833016	17.0840051252015	23.1729976827002	0.038999988300004	0	15.4019907588055	43.873	0	24.386995122601	181.626927349229	9.24599907540009	7.167	10.1170010117001	50.7699796920081	0	1.32499986750001	32.9839967016003	41.3670206835104	12.5540087878062	30.9749938050012	18.1709963658007
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_SGB4421	0	0	0	0	0	98.5880591528355	0	112.405955037618	0	0	2.27100090840036	0	27.8509805043136	0	0	0	0	0	0	0	14.0500028100006	40.0360040036004	0	0	0	0	0	23.2869860278084	0	0	0	0	43.3779956622004	21.582	0	0	0	0	0	0.042000021000011	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_SGB6179	1.555	0	0	0	0.663000331500166	1.84100110460066	0	0	0	0	0	0.085000025500008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.8949948420021	0	0	0	0	0	0	0	0	0	1.14399977120005	0
